stations,n,kim,hub,sch,ley,logbox,bar,l.kim,l.hub,l.sch,l.ley,l.logbox,l.bar,u.kim,u.hub,u.sch,u.ley,u.logbox,u.bar
USC00293294,33763.6667,1362.6667,1488,912.3333,960.3333,0,160,-6.4717,-7.2605,-7.2185,-6.8681,-26.0888,-10.1284,6.2705,5.4326,6.9501,7.2674,26.3379,10.3776
USC00293340,31683,876.6667,916.3333,536.3333,553.3333,0,57.3333,-5.8124,-6.2062,-6.4737,-6.2471,-17.9235,-9.1407,5.645,5.1826,6.2663,6.4377,18.0246,9.2418
USC00293368,32161.6667,951.6667,989.3333,578.3333,624.3333,0,81.3333,-5.0155,-5.4811,-5.5902,-5.3477,-15.9437,-7.8562,4.8563,4.3229,5.3867,5.5841,16.0812,7.9937
USC00293775,30238.6667,870.3333,906.3333,551.3333,583.3333,0.3333,71.3333,-5.2231,-5.6628,-5.8209,-5.6252,-16.8825,-8.2115,5.1286,4.6219,5.6898,5.8568,17.0325,8.3616
USC00293855,28791,950,992,614.3333,628,0,91,-5.3568,-5.6955,-5.9665,-5.7797,-16.285,-8.3865,5.2039,4.7969,5.7765,5.9578,16.3804,8.4819
USC00294009,27979.6667,978.6667,1004.3333,620.6667,636.6667,0,75.6667,-5.3736,-5.68,-5.985,-5.8809,-17.389,-8.5047,5.3722,4.9977,5.9638,6.0579,17.5214,8.6371
USC00294026,32954,1127.3333,1206.6667,720.6667,804.6667,0,102.6667,-7.0833,-8.0316,-7.9025,-7.4398,-26.8606,-11.0246,6.8101,5.8236,7.5462,7.909,27.1443,11.3083
USC00294112,24320,910.3333,937,582.6667,611.3333,0,95.3333,-6.8934,-7.4796,-7.6847,-7.4275,-24.2664,-10.7244,6.7911,6.1076,7.5318,7.7769,24.5029,10.9609
USC00294346,25429.6667,972,980.3333,614.6667,655.3333,0,97,-6.5548,-7.2641,-7.3105,-7.0225,-25.066,-10.2087,6.4757,5.6989,7.1788,7.4139,25.3398,10.4825
USC00294369,35483.3333,984.6667,1091,593.3333,700.6667,0,84.3333,-5.4534,-6.2679,-6.0848,-5.673,-19.0718,-8.4534,5.1567,4.3325,5.713,6.047,19.2781,8.6597
USC00294426,30994.3333,915.6667,953.6667,551,566.3333,0,62.3333,-5.8786,-6.2309,-6.5464,-6.3206,-17.767,-9.2201,5.6763,5.2436,6.3021,6.4935,17.846,9.2992
USC00294719,28253.3333,825.3333,849.6667,506.6667,535,0.3333,66.6667,-5.836,-6.3094,-6.5043,-6.2987,-19.0644,-9.1586,5.7543,5.2037,6.3836,6.5646,19.2434,9.3376
USC00295079,25519.3333,697,726.6667,432,447,0.6667,66.3333,-5.1547,-5.4862,-5.7424,-5.5687,-14.8257,-8.0386,5.0398,4.6353,5.5934,5.759,14.9397,8.1526
USC00295084,33255,761.6667,775.3333,426,510.6667,0,46.3333,-6.697,-7.5267,-7.4694,-7.0391,-22.6722,-10.4231,6.4096,5.5221,7.1045,7.4436,22.9037,10.6546
