stations,n,kim,hub,sch,ley,logbox,bar,l.kim,l.hub,l.sch,l.ley,l.logbox,l.bar,u.kim,u.hub,u.sch,u.ley,u.logbox,u.bar
USC00098703,10214,490,853.3333,371.3333,1029.6667,0,301,-11.8768,-4.4362,-13.4801,-19.1159,-251.4973,-32.6921,37.8308,79.8979,41.7924,24.0042,261.6521,42.8468
USC00098740,14406.3333,688,1098.3333,516.3333,1341.3333,0,374,-14.0097,-5.7088,-15.8462,-21.7342,-270.169,-36.404,39.5591,79.3734,43.7197,26.5249,280.1494,46.3844
USC00098974,5081,265.3333,384.6667,193.6667,486,0,161.6667,-13.5552,-5.1431,-15.425,-20.9824,-241.2588,-33.9638,40.5552,80.4007,44.7433,27.2741,252.7276,45.4326
USC00099141,9055.3333,392.6667,497.3333,300,735.3333,0,234,-13.2378,-4.7038,-15.1978,-20.2985,-198.5935,-33.6189,39.9293,73.3288,43.9214,28.8386,211.6715,46.6969
USC00099157,12181.6667,610.6667,941.3333,459.3333,1164.6667,0,349.3333,-12.0547,-4.5264,-13.6904,-19.0961,-243.4478,-31.99,36.108,74.0333,39.8642,24.2074,253.2946,41.8368
USC00099186,11459.3333,686,1138.3333,527.6667,1160.3333,0,411,-11.8682,-4.6931,-13.4158,-19.4327,-271.0844,-31.5803,35.1952,74.3929,38.9165,23.3425,279.8484,40.3443
USC00099194,7689,338.3333,495.6667,249.6667,721,0,197,-13.0026,-4.5898,-14.8805,-20.5647,-238.3427,-34.344,41.3448,80.4131,45.5512,28.1074,251.0853,47.0866
USC00099291,11693.6667,554.3333,935.3333,413.6667,1100.6667,0,319.3333,-13.0325,-4.831,-14.8328,-20.9601,-252.5453,-35.3292,40.6589,82.3811,44.8695,27.0561,264.0238,46.8077
USC00099506,11304,527.3333,735,392,958.6667,0,293.6667,-13.5063,-4.9669,-15.4292,-20.7608,-223.51,-34.3815,39.3532,74.7507,43.348,28.1019,235.4776,46.3491
USC00100010,7273,458.3333,622,360.3333,749.3333,0,286,-2.5805,-0.7643,-2.9857,-4.1945,-66.6616,-7.071,9.0012,17.2466,9.8926,6.272,69.8249,10.2343
USC00100227,7627.3333,419.3333,620,326,804.6667,0,258,-3.3755,-1.1099,-3.8787,-5.3618,-85.647,-9.263,11.4656,22.5679,12.6239,7.6013,89.3493,12.9652
USC00100375,4577,200,321.3333,159,428.6667,0,138.3333,-3.6367,-1.0096,-4.2229,-5.8512,-77.2118,-9.9188,13.2459,25.3889,14.5497,9.0504,82.0135,14.7204
USC00100470,9986.3333,420.3333,619.3333,315,752.6667,0,221.3333,-4.9829,-1.8398,-5.7323,-7.7408,-80.849,-12.4902,14.7771,25.8404,16.2399,11.1616,85.8632,17.5044
USC00100915,7168,389.3333,499.3333,310.6667,619.6667,0,237.3333,-3.6022,-1.1702,-4.1723,-5.5724,-67.3536,-9.0861,11.365,20.0121,12.4706,8.5519,71.5288,13.2614
USC00101002,5061.6667,292.6667,454,230.3333,521,0,186.6667,-3.0273,-0.9778,-3.482,-5.0525,-77.473,-8.2259,10.5228,20.7143,11.585,7.122,80.899,11.6519
USC00101079,10459.3333,549.3333,884,415.3333,885.6667,0,286.6667,-5.0507,-2.1421,-5.7317,-7.8924,-86.1062,-12.4457,13.7587,25.3825,15.1834,9.9579,89.8323,16.1718
USC00101408,9663,372,647,253,636.6667,0,154.3333,-5.9928,-2.345,-6.876,-9.4405,-81.796,-14.7577,17.2106,29.6598,18.9251,13.2329,87.4448,20.4065
USC00101663,5258,350.6667,442,273.3333,555,0,221,-2.3005,-0.6771,-2.6683,-3.6555,-55.897,-5.9134,7.6637,14.1304,8.4113,5.6266,58.7162,8.7325
USC00101956,11219,509.3333,798,384,807.3333,0,253,-5.9975,-2.7223,-6.8018,-8.9047,-82.0622,-13.7734,14.6258,25.1436,16.1302,11.28,86.0008,17.7121
USC00102187,7091.3333,295.3333,492.6667,216.6667,522.6667,0,163.6667,-7.1877,-2.8357,-8.2275,-11.2586,-97.2322,-17.8221,21.1481,37.544,23.2805,15.4582,103.8719,24.4619
USC00102676,8042.6667,377.3333,526,289,629.3333,0,212.3333,-4.15,-1.359,-4.801,-6.5404,-69.8028,-10.586,13.1018,23.3507,14.3822,9.8702,74.5381,15.3213
USC00102942,8095,317.6667,537,228.6667,610.3333,0,167.3333,-4.0837,-1.4474,-4.6988,-6.481,-66.1884,-10.4241,12.6253,22.7046,13.8807,9.3035,70.4407,14.6764
USC00103297,7793.6667,463.3333,616.3333,368.6667,804,0,286.6667,-2.9642,-0.9622,-3.4112,-4.7015,-72.1362,-7.9624,9.8303,18.9899,10.8157,6.7583,75.3953,11.2215
USC00103448,8802,448.3333,672.6667,334,699,0,222.3333,-6.4505,-2.7037,-7.3575,-9.9072,-100.9544,-15.3242,17.3077,30.0005,19.0606,13.2084,106.1446,20.5144
USC00103554,4328.3333,213.3333,311.6667,162.3333,356.6667,0,132,-4.0908,-1.6013,-4.6769,-6.2158,-61.6763,-9.5298,11.4508,20.6601,12.6046,8.5051,65.2333,13.0868
USC00103631,5702,336.6667,495.3333,252,598,0,200,-2.9508,-0.8706,-3.4146,-4.8244,-81.4474,-8.0532,10.443,20.191,11.4786,7.209,85.1089,11.7147
USC00103732,10607.6667,636.6667,898,492.6667,1024.3333,0,353.6667,-3.5278,-1.3299,-4.0345,-5.496,-78.1094,-9.0506,10.4875,19.5486,11.5498,7.4919,81.3463,12.2874
USC00103760,4344,209.3333,302,163.6667,381.3333,0,139,-2.7385,-0.6738,-3.2011,-4.4535,-55.8681,-7.318,10.0004,18.6232,10.9639,7.2405,59.7738,11.2236
USC00103771,10942,530,867.6667,396.3333,949.3333,0,287,-5.4123,-2.2283,-6.1473,-8.3802,-91.5779,-13.5971,15.1544,28.5025,16.7218,10.6875,95.7439,17.7632
USC00104140,6495,326.3333,482.3333,248,592.3333,0,193,-3.5386,-1.1901,-4.0754,-5.6186,-69.9318,-9.0951,11.2749,20.9037,12.3965,8.1308,73.7501,12.9133
