"distribution","shape1","shape2","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
"gamma",4.86838664267021,165.39833027334,0.9064,4.2324,0.1359,0.8771,2.8102,1.0253,4.488,1.0962,6.4656
"gamma",3.0678541926384,NA,1.1419,4.9558,0.1753,0.7001,3.1492,0.7731,5.1277,0.7958,7.5053
"gamma",1.11941439751573,NA,1.8903,8.3599,0.312,0.2991,4.5042,0.3014,7.6958,0.3015,11.682
"gamma",1.70519524287321,NA,1.5316,6.5187,0.2457,0.4596,3.7912,0.4749,6.3426,0.4767,9.4808
"gamma",2.22359687810298,NA,1.3412,5.6983,0.2087,0.5684,3.4632,0.6034,5.7215,0.6103,8.4708
"gamma",2.6644142649028,NA,1.2253,5.2519,0.19,0.6428,3.2773,0.6974,5.3697,0.7115,7.8988
"gamma",1.75538776312198,NA,1.5095,6.418,0.2412,0.4713,3.7516,0.4883,6.2676,0.4904,9.3589
"gamma",1.93043557265582,193.70266390508,1.4395,6.1081,0.2289,0.5101,3.6287,0.5334,6.0348,0.5369,8.9803
"gamma",3.61606311346893,NA,1.0517,4.6593,0.1586,0.7653,3.0158,0.8628,4.8757,0.8991,7.0956
"gamma",4.13763459235094,191.092657684349,0.9832,4.4501,0.1518,0.817,2.9174,0.9367,4.6901,0.9872,6.794
"gamma",3.78571068910183,161.280003227317,1.0279,4.5849,0.1605,0.7831,2.9813,0.888,4.8105,0.9288,6.9897
"gamma",1.83240960743823,NA,1.4775,6.2744,0.2326,0.4888,3.6948,0.5085,6.16,0.5111,9.184
"gamma",3.13443027335627,NA,1.1297,4.9142,0.1756,0.7087,3.1309,0.7848,5.0931,0.809,7.449
"gamma",1.07386908699363,208.894541550311,1.93,8.5873,0.3195,0.2847,4.5922,0.2865,7.8631,0.2866,11.9542
"gamma",3.69243772927849,NA,1.0408,4.6249,0.1597,0.7734,2.9999,0.8743,4.8457,0.9126,7.0469
"gamma",1.4374661523907,NA,1.6681,7.174,0.2693,0.3918,4.0464,0.3997,6.8265,0.4003,10.2679
"gamma",1.74216599314779,NA,1.5153,6.444,0.2409,0.4682,3.7618,0.4848,6.2869,0.4868,9.3904
"gamma",8.36091826227587,NA,0.6917,3.7176,0.1045,1.0563,2.5254,1.3043,3.9522,1.4626,5.5962
"gamma",1.60020859805366,NA,1.581,6.7495,0.2528,0.4341,3.8815,0.4462,6.5138,0.4474,9.7593
"gamma",1.28123240406907,190.279622178583,1.7669,7.683,0.2876,0.348,4.2429,0.3527,7.1995,0.353,10.8746
"gamma",1.11249584285961,NA,1.8962,8.3933,0.3132,0.2969,4.5171,0.2992,7.7203,0.2993,11.7219
"gamma",3.47837291163206,NA,1.0724,4.7249,0.1627,0.7501,3.0459,0.8416,4.9325,0.8743,7.188
"gamma",1.35294628743457,221.803150561906,1.7195,7.4348,0.2798,0.3686,4.1471,0.3746,7.0177,0.375,10.5789
"gamma",1.92450413935899,NA,1.4417,6.1177,0.2288,0.5089,3.6325,0.5319,6.042,0.5353,8.9921
"gamma",1.49307064971072,NA,1.6368,7.0186,0.265,0.4066,3.9861,0.4159,6.7122,0.4167,10.0821
"gamma",3.82093721128562,NA,1.0232,4.5703,0.1565,0.7866,2.9744,0.8931,4.7976,0.9348,6.9688
"gamma",2.90052351132862,NA,1.1743,5.0686,0.1817,0.6774,3.1986,0.7428,5.2209,0.7617,7.6568
"gamma",1.11678938455619,NA,1.8925,8.3725,0.3121,0.2983,4.5091,0.3006,7.705,0.3007,11.6971
"gamma",1.87885604224098,NA,1.4591,6.1934,0.2314,0.499,3.6627,0.5204,6.0992,0.5234,9.085
"gamma",1.12785847392194,NA,1.8832,8.3198,0.3104,0.3017,4.4887,0.3042,7.6663,0.3043,11.634
"gamma",1.55362991395285,206.321905451699,1.6046,6.8619,0.2581,0.4223,3.9253,0.4332,6.5968,0.4342,9.8944
"gamma",2.4677062155853,130.134747529821,1.2732,5.4314,0.1984,0.6114,3.3529,0.6571,5.5128,0.6676,8.1314
"gamma",1.95485121057995,NA,1.4305,6.0693,0.2257,0.5153,3.6132,0.5395,6.0054,0.5432,8.9325
"gamma",8.61908811256522,154.961427287664,0.6812,3.6961,0.1021,1.0654,2.5121,1.319,3.9272,1.4827,5.5556
"gamma",9.46141762937033,185.527202137047,0.6502,3.6342,0.0973,1.0926,2.4727,1.3632,3.8534,1.5439,5.436
"gamma",5.66160212774919,NA,0.8405,4.0598,0.1265,0.9305,2.7206,1.106,4.3191,1.1988,6.1915
"gamma",1.10450448608585,211.331203581765,1.903,8.4323,0.3133,0.2944,4.5322,0.2966,7.749,0.2966,11.7686
"gamma",1.32438500887731,189.90319507909,1.7379,7.5304,0.2833,0.3605,4.184,0.3659,7.0877,0.3663,10.6929
"gamma",2.53589602984581,NA,1.2559,5.366,0.1963,0.6226,3.3255,0.6713,5.461,0.6831,8.0471
"gamma",9.9092566446047,NA,0.6353,3.6055,0.0951,1.1058,2.454,1.3847,3.8183,1.5739,5.3791
"gamma",1.0012944859813,NA,1.9987,8.9922,0.3322,0.2611,4.7497,0.2623,8.1626,0.2623,12.4415
"gamma",15.0186569224214,207.426462149876,0.5161,3.3995,0.0776,1.2136,2.3069,1.5642,3.5429,1.8296,4.9334
"gamma",1.14935959368013,NA,1.8655,8.2203,0.3067,0.3084,4.4502,0.3111,7.5932,0.3112,11.5151
"gamma",2.08561057953327,185.288684060797,1.3849,5.8769,0.22,0.5419,3.5358,0.5713,5.8589,0.5764,8.6943
"gamma",1.5882655643102,134.137639683858,1.587,6.7777,0.2527,0.4311,3.8925,0.4429,6.5346,0.444,9.7932
"gamma",1.4065619875089,NA,1.6864,7.2657,0.273,0.3834,4.0818,0.3906,6.8938,0.3911,10.3774
"gamma",1.53681653880726,NA,1.6133,6.9042,0.2585,0.418,3.9417,0.4284,6.628,0.4293,9.9451
"gamma",11.0705909968725,147.704515398014,0.6011,3.542,0.0887,1.1363,2.4112,1.435,3.7381,1.6445,5.2492
"gamma",1.05892515281623,NA,1.9436,8.6661,0.3228,0.2799,4.6228,0.2816,7.9212,0.2816,12.0489
"gamma",1.34201842507853,NA,1.7264,7.4709,0.282,0.3655,4.1611,0.3713,7.0441,0.3717,10.622
"gamma",10.6315085868261,NA,0.6134,3.5644,0.0935,1.1253,2.4265,1.4169,3.7668,1.6189,5.2956
