"distribution","shape1","shape2","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
"pearson IV",4.74553954071412,-0.982905679484829,0.2414,4.4429,0.024,2.2264,2.7147,4.0954,5.2529,7.6362,10.2307
"pearson IV",4.66806884059496,-0.955798805106431,0.2438,4.4934,0.0243,2.2427,2.7345,4.1511,5.3229,7.8093,10.4545
"pearson IV",4.53707941313507,-0.732343269198202,0.2001,4.5475,0.0202,2.319,2.7206,4.3651,5.3309,8.3857,10.5939
"pearson IV",4.47709723781934,-0.714167916947976,0.2013,4.5935,0.0188,2.3341,2.7371,4.4173,5.391,8.5515,10.7913
"pearson IV",4.42439825375425,-0.729337251117453,0.2113,4.6433,0.0203,2.3392,2.7613,4.4442,5.4681,8.6561,11.0245
"pearson IV",4.35743599120667,-0.674801014808007,0.2028,4.6934,0.0187,2.3671,2.771,4.5314,5.5165,8.9159,11.2111
"pearson IV",4.30382621005503,-0.692072318144143,0.2141,4.751,0.0192,2.3724,2.7979,4.5609,5.6031,9.0337,11.4766
"pearson IV",4.282496328637,-0.767379248853773,0.24,4.7937,0.0225,2.3541,2.8305,4.5228,5.6918,8.9643,11.7108
"pearson IV",4.193806225345,-0.629664280687459,0.2076,4.8549,0.0186,2.4144,2.8245,4.7002,5.7143,9.4715,11.8793
"pearson IV",4.14921789874323,-0.619400618656539,0.2096,4.905,0.0174,2.4276,2.8408,4.7489,5.7745,9.6353,12.084
"pearson IV",4.11182388002286,-0.587890498589724,0.2036,4.9427,0.0179,2.4467,2.847,4.8099,5.807,9.8236,12.2154
"pearson IV",4.06994177737227,-0.621990893018432,0.2208,5.0073,0.0199,2.4454,2.8784,4.8226,5.9055,9.9033,12.5152
"pearson IV",4.04507096940419,-0.670431647126563,0.2414,5.0574,0.0215,2.4349,2.9078,4.8061,5.9914,9.8935,12.7616
"pearson IV",4.01326103582745,-0.643248836603016,0.2364,5.094,0.0208,2.4519,2.9139,4.8613,6.0229,10.0669,12.8898
"pearson IV",3.96775283766864,-0.579324099179357,0.2193,5.1407,0.0196,2.486,2.9133,4.9661,6.0455,10.382,13.0214
"pearson IV",3.93831946052425,-0.599550355516374,0.2313,5.1939,0.0183,2.4866,2.9362,4.9803,6.1194,10.4571,13.2541
