"distribution","shape1","shape2","skewness","kurtosis","m.star.sample","kurtosis.sample","skewness.sample","A","B","m.star","r2","alpha.100","alpha.1000","alpha.10000","alpha.100000","alpha.1000000"
"betaprime",3.91669986587018,59.0656067675911,1.1397,5.0929,0.1824,5.0925,1.1368,0.2971,3.7466,0.18409525431146,0.999955,5.1225,5.7958,6.4757,7.1633,7.8597
"betaprime",4.32642189804465,43.8772538264282,1.1417,5.1547,0.1826,5.1708,1.1439,0.3146,3.7528,0.182817365989595,0.999883,5.2147,5.9201,6.6374,7.368,8.1131
"betaprime",4.95652807468083,34.5426753420616,1.1379,5.2021,0.1804,5.2833,1.1486,0.3328,3.7468,0.18043926282511,0.99977,5.2989,6.0369,6.7928,7.5684,8.3652
"betaprime",5.10655229464173,32.3576189744053,1.1435,5.2421,0.1817,5.2926,1.1508,0.3404,3.7554,0.180869374947745,0.999726,5.3447,6.0968,6.8689,7.6631,8.4809
"betaprime",6.45481874568854,25.6683148897719,1.138,5.3091,0.1767,5.3239,1.1365,0.3665,3.7405,0.177689959440049,0.999506,5.4597,6.2576,7.0847,7.9436,8.8366
"betaprime",7.76609219054226,22.7423221405596,1.1361,5.3593,0.176,5.4725,1.1433,0.3842,3.7307,0.175975746590282,0.999336,5.5382,6.3669,7.2312,8.1341,9.0784
"betaprime",8.52270576667506,21.5804141264409,1.1379,5.3941,0.1777,5.3911,1.1392,0.3936,3.7295,0.175626264792928,0.999248,5.5836,6.4289,7.3129,8.239,9.2103
"betaprime",10.7927638226096,19.6638672886416,1.1387,5.4521,0.1771,5.4214,1.1372,0.4115,3.721,0.174489918409138,0.999062,5.6641,6.5403,7.4616,8.4319,9.4553
"betaprime",12.2996468936652,18.8548493679613,1.1416,5.4905,0.1711,5.5818,1.1506,0.421,3.72,0.174355427061875,0.998964,5.7108,6.6037,7.5451,8.5392,9.5904
"betaprime",3.23292001876514,137.47309690353,1.1643,5.0936,0.1892,5.1217,1.1675,0.276,3.7806,0.19134442322866,1,5.0515,5.6875,6.3226,6.9578,7.594
"betaprime",3.77962830418721,58.4280333970673,1.1581,5.159,0.189,5.2159,1.1658,0.3015,3.7785,0.187364948418124,0.999952,5.1749,5.8576,6.5473,7.2452,7.9523
"betaprime",3.75966491627507,56.1056425727438,1.1661,5.1942,0.1878,5.1584,1.1598,0.3052,3.7928,0.188618144182505,0.999944,5.2071,5.8973,6.5952,7.302,8.0189
"betaprime",4.1816371246241,42.2389372709091,1.1637,5.2413,0.187,5.234,1.1603,0.3221,3.7903,0.186472363416607,0.999865,5.2878,6.0084,6.7422,7.4906,8.2548
"betaprime",4.63764012861997,34.5210340041667,1.1641,5.2957,0.1831,5.2651,1.1624,0.3388,3.7902,0.184995136472713,0.999764,5.3702,6.121,6.8902,7.6798,8.4912
"betaprime",5.1180717503652,29.8093430097215,1.1657,5.3497,0.1827,5.3467,1.1659,0.3543,3.7902,0.183940611063058,0.999655,5.447,6.2256,7.0277,7.8556,8.7109
"betaprime",6.31598064332269,24.599049789831,1.1603,5.4086,0.1792,5.4359,1.1648,0.3779,3.7738,0.180945751814145,0.999446,5.5482,6.368,7.2198,8.1062,9.0299
"betaprime",7.4304788586311,22.1151828148868,1.1592,5.458,0.1782,5.3912,1.1493,0.3946,3.7645,0.179439896787793,0.999283,5.6222,6.471,7.3578,8.2857,9.2579
"betaprime",7.853100360604,21.2566541645676,1.1636,5.4963,0.1788,5.6208,1.1771,0.4027,3.7677,0.1796371191086,0.999212,5.6656,6.5289,7.4328,8.3808,9.3761
"betaprime",10.8272806815058,18.9420914584305,1.1585,5.5495,0.1781,5.5751,1.1596,0.4244,3.746,0.177133619918298,0.998969,5.7524,6.6526,7.6015,8.6034,9.6627
"betaprime",15.6687611121219,17.4794233816629,1.1578,5.6051,0.177,5.6214,1.1628,0.4427,3.7316,0.175740627364238,0.99876,5.8301,6.7616,7.7486,8.7964,9.9099
"betaprime",3.24838569636457,92.5678980379133,1.1874,5.2066,0.1953,5.2242,1.191,0.29,3.8255,0.1946204751698,0.999992,5.164,5.8277,6.4936,7.1626,7.8356
"betaprime",3.43464649050729,67.9357905712211,1.1873,5.2414,0.1938,5.2015,1.1839,0.3008,3.8282,0.193408679766529,0.99997,5.2197,5.9034,6.5924,7.2879,7.9908
"betaprime",3.88655561499763,45.6205630355515,1.1826,5.2925,0.1923,5.3084,1.1881,0.3209,3.8226,0.190381344953349,0.999889,5.3131,6.033,6.7647,7.5097,8.2689
"betaprime",4.08203658170532,39.558603792137,1.1873,5.3428,0.1899,5.3473,1.1884,0.3323,3.8304,0.190204902775828,0.999834,5.3769,6.1178,6.874,7.6468,8.4377
